CustomerID,Name  ,Email,Phone,Region,Age,PurchaseAmount,SignupDate,Region_copy
1,Customer 0,bad_email_0,12345,North,,N/A,2023-01-01,North
2,Customer 1,customer1@example.com,+234-801-1001,South,69.0,1045.63,2023-01-02,South
3,Customer 2,customer2@example.com,+234-802-1002,East,46.0,1634.69,2023-01-03,East
4,Customer 3,customer3@example.com,+234-803-1003,West,32.0,6025.83,2023-01-04,West
5,Customer 4,customer4@example.com,+234-804-1004,north,60.0,9375.53,2023-01-05,north
6,Customer 5,customer5@example.com,+234-805-1005,SOUTH,250.0,9700.98,2023-01-06,SOUTH
7,Customer 6,customer6@example.com,+234-806-1006, East ,38.0,2591.84,2023-01-07, East 
8,Customer 7,customer7@example.com,+234-807-1007,Nort,56.0,10936.03,2023-01-08,Nort
9,Customer 8,customer8@example.com,+234-808-1008,North,36.0,9516.64,2023-01-09,North
10,Customer 9,customer9@example.com,+234-809-1009,South,40.0,13715.93,2023-01-10,South
11,Customer 10,customer10@example.com,+234-800-1010,East,28.0,500000,2023-01-11,East
12,Customer 11,customer11@example.com,+234-801-1011,West,28.0,,2023-01-12,West
13,Customer 12,customer12@example.com,+234-802-1012,north,41.0,4345.68,2023-01-13,north
14,Customer 13,customer13@example.com,12345,SOUTH,53.0,2328.33,2023-01-14,SOUTH
15,Customer 14,customer14@example.com,+234-804-1014, East ,57.0,14078.19,2023-01-15, East 
16,Customer 15,customer15@example.com,+234-805-1015,Nort,41.0,18184.06,2023-01-16,Nort
17,Customer 16,customer16@example.com,+234-806-1016,North,20.0,1669.82,2023-01-17,North
18,Customer 17,bad_email_17,+234-807-1017,South,39.0,1821.84,2023-01-18,South
19,Customer 18,customer18@example.com,+234-808-1018,East,19.0,3323.9,2023-01-19,East
20,Customer 19,customer19@example.com,+234-809-1019,West,,2974.88,2023-01-20,West
21,Customer 20,customer20@example.com,+234-800-1020,north,61.0,25976.51,2023-01-21,north
22,Customer 21,customer21@example.com,+234-801-1021,SOUTH,47.0,967.47,2023-01-22,SOUTH
23,Customer 22,customer22@example.com,+234-802-1022, East ,55.0,,2023-01-23, East 
24,Customer 23,,+234-803-1023,Nort,19.0,3405.04,2023-01-24,Nort
25,Customer 24,customer24@example.com,+234-804-1024,North,38.0,985.08,2023-01-25,North
26,Customer 25,customer25@example.com,+234-805-1025,South,50.0,2282.23,2023-01-26,South
27,Customer 26,customer26@example.com,12345,East,29.0,6816.22,2023-01-27,East
28,Customer 27,customer27@example.com,+234-807-1027,West,39.0,6381.64,2023-01-28,West
29,Customer 28,customer28@example.com,+234-808-1028,north,61.0,1841.29,2023-01-29,north
30,Customer 29,customer29@example.com,,SOUTH,42.0,3910.33,2023-01-30,SOUTH
31,Customer 30,customer30@example.com,+234-800-1030, East ,66.0,3554.66,2023-01-31, East 
32,Customer 31,customer31@example.com,+234-801-1031,Nort,44.0,5057.58,2023-02-01,Nort
33,Customer 32,customer32@example.com,+234-802-1032,North,59.0,1441.49,2023-02-02,North
34,Customer 33,customer33@example.com,+234-803-1033,South,45.0,,2023-02-03,South
35,Customer 34,bad_email_34,+234-804-1034,East,33.0,19290.72,2023-02-04,East
36,Customer 35,customer35@example.com,+234-805-1035,West,32.0,3334.88,2023-02-05,West
37,Customer 36,customer36@example.com,+234-806-1036,north,64.0,11827.56,2023-02-06,north
38,Customer 37,customer37@example.com,+234-807-1037,SOUTH,68.0,2849.29,2023-02-07,SOUTH
39,Customer 38,customer38@example.com,+234-808-1038, East ,,2154.52,2023-02-08, East 
40,Customer 39,customer39@example.com,12345,Nort,69.0,5179.64,2023-02-09,Nort
41,Customer 40,customer40@example.com,+234-800-1040,North,20.0,5527.04,2023-02-10,North
42,Customer 41,customer41@example.com,+234-801-1041,South,54.0,9981.67,2023-02-11,South
43,Customer 42,customer42@example.com,+234-802-1042,East,68.0,1308.03,2023-02-12,East
44,Customer 43,customer43@example.com,+234-803-1043,West,24.0,3457.68,2023-02-13,West
45,Customer 44,customer44@example.com,+234-804-1044,north,38.0,,2023-02-14,north
46,Customer 45,customer45@example.com,+234-805-1045,SOUTH,26.0,7317.04,2023-02-15,SOUTH
47,Customer 46,,+234-806-1046, East ,56.0,222.91,2023-02-16, East 
48,Customer 47,customer47@example.com,+234-807-1047,Nort,35.0,26061.17,2023-02-17,Nort
49,Customer 48,customer48@example.com,+234-808-1048,North,21.0,3173.87,2023-02-18,North
50,Customer 49,customer49@example.com,+234-809-1049,South,42.0,1639.47,2023-02-19,South
51,Customer 50,customer50@example.com,+234-800-1050,East,31.0,10749.06,2023-02-20,East
52,Customer 51,bad_email_51,+234-801-1051,West,67.0,6886.05,2023-02-21,West
53,Customer 52,customer52@example.com,12345,north,26.0,15295.69,2023-02-22,north
54,Customer 53,customer53@example.com,+234-803-1053,SOUTH,43.0,2007.99,2023-02-23,SOUTH
55,Customer 54,customer54@example.com,+234-804-1054, East ,19.0,4023.36,2023-02-24, East 
56,Customer 55,customer55@example.com,+234-805-1055,Nort,37.0,,2023-02-25,Nort
57,Customer 56,customer56@example.com,+234-806-1056,North,45.0,19643.71,2023-02-26,North
58,Customer 57,customer57@example.com,+234-807-1057,South,,391.68,2023-02-27,South
59,Customer 58,customer58@example.com,,East,24.0,1824.23,2023-02-28,East
60,Customer 59,customer59@example.com,+234-809-1059,West,61.0,1059.23,2023-03-01,West
61,Customer 60,customer60@example.com,+234-800-1060,north,25.0,1563.12,2023-03-02,north
62,Customer 61,customer61@example.com,+234-801-1061,SOUTH,64.0,3320.66,2023-03-03,SOUTH
63,Customer 62,customer62@example.com,+234-802-1062, East ,52.0,2331.55,2023-03-04, East 
64,Customer 63,customer63@example.com,+234-803-1063,Nort,31.0,2510.08,2023-03-05,Nort
65,Customer 64,customer64@example.com,+234-804-1064,North,34.0,9296.33,2023-03-06,North
66,Customer 65,customer65@example.com,12345,South,53.0,13297.5,2023-03-07,South
67,Customer 66,customer66@example.com,+234-806-1066,East,67.0,,2023-03-08,East
68,Customer 67,customer67@example.com,+234-807-1067,West,57.0,1171.77,2023-03-09,West
69,Customer 68,bad_email_68,+234-808-1068,north,21.0,5560.67,2023-03-10,north
70,Customer 69,,+234-809-1069,SOUTH,19.0,2220.87,2023-03-11,SOUTH
71,Customer 70,customer70@example.com,+234-800-1070, East ,23.0,1466.25,2023-03-12, East 
72,Customer 71,customer71@example.com,+234-801-1071,Nort,59.0,1749.85,2023-03-13,Nort
73,Customer 72,customer72@example.com,+234-802-1072,North,21.0,1947.1,2023-03-14,North
74,Customer 73,customer73@example.com,+234-803-1073,South,46.0,9441.46,2023-03-15,South
75,Customer 74,customer74@example.com,+234-804-1074,East,35.0,734.51,2023-03-16,East
76,Customer 75,customer75@example.com,+234-805-1075,West,43.0,6170.63,2023-03-17,West
77,Customer 76,customer76@example.com,+234-806-1076,north,,4023.97,2023-03-18,north
78,Customer 77,customer77@example.com,+234-807-1077,SOUTH,51.0,,2023-03-19,SOUTH
79,Customer 78,customer78@example.com,12345, East ,27.0,2721.75,2023-03-20, East 
80,Customer 79,customer79@example.com,+234-809-1079,Nort,53.0,1479.96,2023-03-21,Nort
81,Customer 80,customer80@example.com,+234-800-1080,North,31.0,4727.49,2023-03-22,North
82,Customer 81,customer81@example.com,+234-801-1081,South,48.0,425.58,2023-03-23,South
83,Customer 82,customer82@example.com,+234-802-1082,East,65.0,25.99,2023-03-24,East
84,Customer 83,customer83@example.com,+234-803-1083,West,32.0,4942.89,2023-03-25,West
85,Customer 84,customer84@example.com,+234-804-1084,north,25.0,1080.06,2023-03-26,north
86,Customer 85,bad_email_85,+234-805-1085,SOUTH,31.0,367.91,2023-03-27,SOUTH
87,Customer 86,customer86@example.com,+234-806-1086, East ,40.0,2527.4,2023-03-28, East 
88,Customer 87,customer87@example.com,,Nort,57.0,260.51,2023-03-29,Nort
89,Customer 88,customer88@example.com,+234-808-1088,North,38.0,,2023-03-30,North
90,Customer 89,customer89@example.com,+234-809-1089,South,33.0,140.03,2023-03-31,South
91,Customer 90,customer90@example.com,+234-800-1090,East,62.0,4324.01,2023-04-01,East
92,Customer 91,customer91@example.com,12345,West,35.0,2885.49,2023-04-02,West
93,Customer 92,,+234-802-1092,north,64.0,5574.11,2023-04-03,north
94,Customer 93,customer93@example.com,+234-803-1093,SOUTH,41.0,1988.62,2023-04-04,SOUTH
95,Customer 94,customer94@example.com,+234-804-1094, East ,43.0,842.34,2023-04-05, East 
96,Customer 95,customer95@example.com,+234-805-1095,Nort,,20042.91,2023-04-06,Nort
97,Customer 96,customer96@example.com,+234-806-1096,North,62.0,9129.69,2023-04-07,North
98,Customer 97,customer97@example.com,+234-807-1097,South,58.0,9845.04,2023-04-08,South
99,Customer 98,customer98@example.com,+234-808-1098,East,46.0,1440.09,2023-04-09,East
100,Customer 99,customer99@example.com,+234-809-1099,West,32.0,,2023-04-10,West
101,Customer 100,customer100@example.com,+234-800-1100,north,62.0,1806.75,2023-04-11,north
102,Customer 101,customer101@example.com,+234-801-1101,SOUTH,18.0,3851.03,2023-04-12,SOUTH
103,Customer 102,bad_email_102,+234-802-1102, East ,42.0,1977.46,2023-04-13, East 
104,Customer 103,customer103@example.com,+234-803-1103,Nort,24.0,8797.5,2023-04-14,Nort
105,Customer 104,customer104@example.com,12345,North,26.0,1584.13,2023-04-15,North
106,Customer 105,customer105@example.com,+234-805-1105,South,41.0,16798.14,2023-04-16,South
107,Customer 106,customer106@example.com,+234-806-1106,East,18.0,3055.67,2023-04-17,East
108,Customer 107,customer107@example.com,+234-807-1107,West,61.0,9226.53,2023-04-18,West
109,Customer 108,customer108@example.com,+234-808-1108,north,25.0,1080.72,2023-04-19,north
110,Customer 109,customer109@example.com,+234-809-1109,SOUTH,41.0,2649.65,2023-04-20,SOUTH
111,Customer 110,customer110@example.com,+234-800-1110, East ,28.0,,2023-04-21, East 
